polo;rpa;logradouro;bairro;observacao;datainauguracao;latitude;longitude
Academia Recife - Polo Hipódromo;2;Rua Ascenso Ferreira;Hipódromo;Praça do Hipódromo;2015/03/09; -8.031896;-34.8869401
Academia Recife - Polo Torre;4;Rua José de Holanda;Torre;Praça da Torre;2014/01/21;-8.0466068;-34.9137394
Academia Recife - Polo Coque;1;Rua Água Doce;Ilha Joana Bezerra;Praça de Joana Bezerra;2014/10/21;-8.069215;-34.897036
Academia Recife - Polo Varzea;4; Av. Afonso Olindense;Várzea; Praça da Várzea;2015/04/17; -8.0495282;-34.9596545
Academia Recife - Polo Boa Viagem;6; Av. Boa Viagem; Boa Viagem; Segundo Jardim;2015/03/22;-8.1049397;-34.8869953
Academia Recife - Polo Macaxeira;3;Av. Norte Miguel Arraes de Alencar S/N;Macaxeira; Parque Urbano da Macaxeira;2014/07/09; -8.0153181;-34.9322254
Academia Recife - Polo Santana;3;Rua Astério Rufino Alves;Santana;Parque Santana;2014/03/15;-8.0423707;-34.916249
Academia Recife - Polo Santo Amaro;1; Avenida Governador Agamenon Magalhães; Santo Amaro;próximo ao número 20;2014/02/20;-8.039585;-34.8776891
Academia Recife - Polo Lagoa do Araçá;6;Rua Nova Verona S/N;Imbiribeira;Lagoa do Araçá;2013/12/12; -8.0962008;-34.9156977
Academia Recife - Polo Ipsep;6;Avenida Sen. Robert Kennedy;Ipsep;Praça Robert Kennedy;2014/07/31; -8.114475;-34.9196486
Academia Recife - Polo Ibura;6;Avenida Pernambuco S/N;Ibura;Praça da Maria Sampaio Lucena - COHAB;2014/03/30; -8.117451;-34.9468972
Academia Recife - Polo Engenho do Meio;4; Rua Manoel Alves Deus Dará;Engenho do Meio;Praça Doutor Arnaldo Assunção;2014/02/10;-8.0571914;-34.9434783
Academia Recife - Polo Jaqueira;3;Avenida Rui Barbosa s/n;Jaqueira;Parque da Jaqueira;2014/03/29;-8.0370578;-34.905483
Academia Recife - Polo Água Fria;2;Avenida Beberibe;Água Fria;Próximo ao número 3359;2018/01/03;-8.0094149;-34.8892527
Academia Recife - Polo Barro;5; R. Padre Diogo Rodrigues;Barro;próximo ao número 547;2018/06/28;-8.089663;-34.9403429
Academia Recife - Polo Santos Dumont;6; Rua Alm. Nelson Fernandes;Boa Viagem; Centro Esportivo Santos Dumont;2018/01/24;-8.1307901;-34.9099489
Academia Recife - Polo Guabiraba;3;Rua das Flores;Guabiraba;Terminal da Guabiraba próx. ao número 2702;2018/03/26;-7.9932713;-34.9387909
Academia Recife - Polo Casa Amarela;3;Rua Marino Melo Berenger;Casa Amarela;Próximo ao número 5673;2018/07/05;-8.022238;-34.9180816
Academia Recife - Polo Mustardinha;5;Rua Neto Campêlo Júnior;Mustardinha;Praça do ABC;2018/09/04;-8.0730174;-34.9191975